Enviado,Fecha,Tarea,Ruta,Prog. Inicial,Prog. Final,Maquinaria 1,ID1,N°ID1,Maquinaria 2,ID2,N°ID2,Maquinaria 3,ID3,N°ID3,Maquinaria 4,ID4,N°ID4,Maquinaria 5,ID5,N°ID5,Observaciones,Imágenes previas,Imágenes posteriores,km,Combustible (l),Mezcla asfáltica (tn)
si,15/5/2025,CORTE DE PASTO,093-08,"0,50","4,00",TRACTOR,O.I.,21406,DESMALEZADORA,O.I.,21502,,,,,,,,,,se cargaron mal los vehículos,,,"3,50",,
si,15/5/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"225,00","225,10",CAMIÓN,R.O.,41020,CAMIONETA,R.O.,44808,MINI CARGADORA,R.O.,21202,,,,,,,"Fresado de pavimento en sector de ""Lag. de Todos Los Santos""",,,"0,10",,
si,19/5/2025,MANTENIMIENTO DE PAVIMENTOS,RP46,"0,00","23,00",CAMIÓN,R.O.,31556,CAMIÓN,R.O.,41020,,,,,,,,,,Vahículo mal cargado. Bacheo en diversos sectores del tramo indicado.,,,"23,00",,
si,19/5/2025,CORTE DE PASTO,093-08,"1,00","4,00",TRACTOR,O.I.,21406,DESMALEZADORA,O.I.,21502,,,,,,,,,,se cargó mal el OI de Desmalezadora,,,"3,00",,
si,20/5/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"225,00","226,10",CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,CAMIONETA,R.O.,37073,CAMIONETA,R.O.,40990,,,,"Carretón OI 22121. Señalización lumínica.",,,"1,10",,
si,20/5/2025,CAMINOS RURALES,093-08,"18,00","20,00",MOTONIVELADORA,O.I.,8653,CAMIONETA,R.O.,29792,,,,,,,,,,,,,"2,00",,
si,20/5/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP30,"263,00","270,00",CAMIONETA,R.O.,26395,,,,,,,,,,,,,,,,"7,00",,
si,21/5/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"225,00","240,00",CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,CAMIONETA,R.O.,37073,,,,,,,,,,"15,00",,
si,21/5/2025,CAMINOS RURALES,093-08,"20,00","22,00",MOTONIVELADORA,O.I.,8653,CAMIONETA,R.O.,29792,,,,,,,,,,,,,"2,00",,
si,21/5/2025,CORTE DE PASTO,093-13,"12,70","17,00",TRACTOR,O.I.,21503,DESMALEZADORA,O.I.,21502,,,,,,,,,,se cargó mal el OI de Desmalezadora. Camino secundario 093-13 (no está registrado en la base de datos del formulario).,,,"4,30",,
